MANGA,AUTEUR,LIEN NAUTILJON,GENRE / TAGS,THEME,CIBLES,NOMBRE TOTAL DE TOMES,BIBLIOTHEQUE,PRIX TOME,SITUATION COLLECTION,TOTAL COLLECTION,,,
ACT-AGE,Tatsuya Matsuki & Shiro Usazaki,ACT-AGE,"Comédie, Drame, Slice of Life",Cinéma ,Seinen,2,2,"6,9",FINI,"13,8",,,
AIR GEAR,Oh ! Great,AIR GEAR,"Action, Comédie, Ecchi ",Ecole - Sport ,Shonen,37,32,"6,95",FINI,"222,4",,,
AJIN,Gamon Sakurai & Tsuina Miura,AJIN,"Action, Drame, Horreur ",Combats - Monstres - Mort,Seinen,17,17,"7,6",FINI,"129,2",,VALEUR COLLECTION,"8726,81"
ALL YOU NEED IS KILL,Hiroshi Sakuraza & Takeshi Obata,ALL YOU NEED IS KILL,"Action, Mature, Mystère, SF",Aliens - Guerre - Mort,Seinen,2,2,7,FINI,14,,,
ALMA,Mito Shinji,ALMA,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,4,4,"8,3",FINI,"33,2",,,
ASSASSINATION CLASSROOM,Yusei Matsui,ASSASSINATION CLASSROOM,"Comédie, School Life, SF","Alien, Assassinat",Shonen,21,2,"6,9",ABANDONNER ,"13,8",,TOTAL TOME,1148
BEASTARS,Paru Itagaki,BEASTARS,"Action, Comédie, Drame, Mature",Adolescence - Amitié - Amour - Animaux - Ecole - Enquête - Harcèlement - Secrets - Société ,Seinen,22,22,"6,9",FINI,"151,8",,,
BERSERK,Kentaro Miura,BERSERK,"Aventure, Fantastique, Horreur ","Démons, Malédiction, Combats",Seinen,42,8,"6,9",EN COURS,"55,2",,,
BERSERK - PRESTIGE EDITION,Kentaro Miura,BERSERK - PRESTIGE EDITION,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,3,1,25,EN COURS,25,,,
BLACK CLOVER,Yûki Tabata,BLACK CLOVER,"Action, Aventure","Nekketsu, amitié, magie",Shonen,37,37,"6,8",EN COURS ,"251,6",,,
BLACK LAGOON,Rei Hiroe,BLACK LAGOON,"Action, Drame ","Crime, Mafia, Pirate",Shonen,13,13,"6,99",EN COURS ,"90,87",,,
BLACK TORCH,Tsuyoshi Takaki,BLACK TORCH,"Action, Drame, Surnaturel",Démons - Fantômes - Ninjas ,Shonen,5,5,"6,9",FINI,"34,5",,,
BLACK★ROCK SHOOTER – INNOCENT SOUL,Sanami Suzuki & Huke,BLACK★ROCK SHOOTER – INNOCENT SOUL,"Action, Aventure, Fantasy, Horreur",BRS ✭,Shonen,1,1,16,FINI,16,,,
BLACK★ROCK SHOOTER – THE GAME,TNSK & Huke,BLACK★ROCK SHOOTER – THE GAME,"Action, Fantasy",BRS ✭,Shonen,2,1,"8,29",EN COURS ,"8,29",,,
BLAME!,Nihei Tsutomu,BLAME!,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,6,6,"14,95",FINI,"89,7",,,
BLAZER DRIVE,Seishi Kishimoto,BLAZER DRIVE,"Action, SF ",Autocollant,Shonen,9,3,"6,6",ABANDONNER ,"19,8",,,
BLEACH,Tite Kubo,BLEACH,"Action, Aventure ","Nekketsu, Shinigami, Combats",Shonen,74,74,"6,9",FINI,"510,6",,,
BLEACH – 13 BLADES,Tite Kubo,BLEACH – 13 BLADES,Guide,,Shonen,1,1,"6,9",FINI,"6,9",,,
BLUE EXORCIST,Kazue Kato,BLUE EXORCIST,"Action, Aventure, Comédie",Démons - Ecole - Magie,Shonen,27,3,7,ABANDONNER ,21,,,
BLUE EYES SWORD,Takahiro & Streleka,BLUE EYES SWORD,"Action, Aventure, Drame, Horreur",Bataille navale - Combats - Guerre,Shonen,8,8,"7,65",FINI,"61,2",,,
BURN THE WITCH,Tite Kubo,BURN THE WITCH,"Action, Comédie, Fantasy ","Dragon, Magie",Shonen,1,1,"6,9",FINI,"6,9",,,
CALL OF THE NIGHT,Kotoyama,CALL OF THE NIGHT,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,14,6,"7,3",EN COURS,"43,8",,,
CHAINSAW MAN,Tatsuki Fujimoto,CHAINSAW MAN,"Action, Aventure, Horreur",Combats - Démons - Organisations secrètes,Seinen,22,22,"7,3",EN COURS,"160,6",,,
CHASTITY REVERSE WORLD,Amahara & Mantaro,CHASTITY REVERSE WORLD,"Comédie, Ecchi, Erotique ","Sexe, Isekkai",Echi,4,4,"6,95",EN COURS ,"27,8",,,
CLASSROOM FOR HEROES,Shin Araki & Koara Kishida,CLASSROOM FOR HEROES,"Action, Comédie, Ecchi ","Amour, Combats",Echi,20,20,"7,5",EN COURS ,150,,,
CLAYMORE,Yagi Norihiro,CLAYMORE,,,Seinen,27,6,7,EN COURS ,42,,,
D.GRAY-MAN,Katsura Hoshino,D.GRAY-MAN,"Aventure, Horreur, Comédie ","Démons, Malédiction, Combats",Shonen,29,25,"6,9",EN COURS ,"172,5",,,
DEMON SLAVE,Takahiro & Yôhei Takemura,DEMON SLAVE,"Action, Aventure, Ecchi, Romance ",Magie,Shonen,19,19,"6,9",EN COURS ,"131,1",,,
DOUBT,Yoshiki Tonogai,DOUBT,"Horreur, Mystère, Psychologie",Société - Survival game,Seinen,4,1,"7,65",ABANDONNER ,"7,65",,,
DRAGON BALL,Akira Toriyama,DRAGON BALL,"Action, Aventure, Comédie",Aliens - Arts martiaux - Combats - Super pouvoirs - Tournois,Shonen,21,21,"6,9",FINI,"144,9",,,
DRAGON BALL - Tome Units,Akira Toriyama,DRAGON BALL - Tome Units,"Action, Aventure, Comédie",Aliens - Arts martiaux - Combats - Super pouvoirs - Tournois,Shonen,3,3,"6,9",FINI,"20,7",,,
FIRE FORCE,Ohkubo Atsushi,FIRE FORCE,,,Shonen,34,34,"7,1",FINI,"241,4",,,
FIRE PUNCH,Tatsuki Fukimoto,FIRE PUNCH,"Aventure, Fantastique, Mature",Post-apocalyptique - Vengeance,Seinen,8,2,8,ABANDONNER ,16,,,
FULLMETAL ALCHEMIST,Hiromu Arakawa,FULLMETAL ALCHEMIST,"Action, Comédie, Drame, Surnaturel",Alchimie - Militaire - Steampunk,Shonen,27,1,"6,3",ABANDONNER ,"6,3",,,
FULLMETAL ALCHEMIST - EDITION DOUBLE,Arakawa Hiromu,FULLMETAL ALCHEMIST - EDITION DOUBLE,,"Isekkai, Gender bender, Jeux Video",Shonen,13,13,10,FINI,130,,,
GANTZ,Hiroya Oku,GANTZ,"Action, Ecchi, Horreur ",Aliens,Shonen,18,2,15,ABANDONNER ,30,,,
HELLSING - PERFECT EDITION,Hirano Kota,HELLSING - PERFECT EDITION,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,5,3,16,EN COURS,48,,,
HIDEOUT,Masasumi Kakisaki,HIDEOUT,"Aventure, Horreur",Sequestration ,Seinen,1,1,"7,65",FINI,"7,65",,,
IPPO – S4 LA LOI DU RING,George Morikawa,IPPO – S4 LA LOI DU RING,Action,Amitié - Boxe - Sport - Tournois,Shonen,27,2,"6,3",ABANDONNER ,"12,6",,,
ITCHI THE WITCH,Nishi Osamu & Usazaki Shiro,ITCHI THE WITCH,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,4,4,"7,2",EN COURS,"28,8",,,
JE SUIS UN ASSASSIN (et je surpasse le héros),Aigamo Hiroyuki & Akai Matsuri,JE SUIS UN ASSASSIN (et je surpasse le héros),"Action, Aventure, Fantastique ",Isekkai,Shonen,6,6,"7,5",ABANDONNER ,45,,,
JK HARU - SEX WORKER IN ANOTHER WORLD,Hiratori Ko & Yamada J-ta,JK HARU - SEX WORKER IN ANOTHER WORLD,,,Echi,7,7,7,FINI,49,,,
JUDGE,Yoshiki Tonogai,JUDGE,"Horreur, Mystère, Psychologie",Survival game,Seinen,6,5,"7,65",FINI,"38,25",,,
KAGURABACHI,Hokazono Takeru,KAGURABACHI,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,8,8,"7,3",EN COURS,"58,4",,,
KAIJIN REIJOH,Tetsuya Tashiro,KAIJIN REIJOH,"Action, Fantastique, Horreur",Assassinat - Crime,Shonen,14,14,"7,65",EN COURS ,"107,1",,,
KAIJU N°8,Naoya Matsumoto,KAIJU N°8,"Action, SF, Horreur, Comédie",Combats - Militaire - Monstres,Shonen,16,16,"6,9",FINI,"110,4",,,
KEMONO INCIDENTS,Aimoto Sho,KEMONO INCIDENTS,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,21,13,"7,3",EN COURS ,"94,9",,,
KINDERGARTEN WARS, Chiba You,KINDERGARTEN WARS,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,15,15,"7,9",EN COURS ,"118,5",,,
LES CHRONIQUES D'AZFAREO,Shiki Shitose,LES CHRONIQUES D'AZFAREO,"Drame, Fantasy , Romance",Dragons,Shojo,9,0,"6,99",VENDU,0,,,
LES LEGENDAIRES Saga,Patrick Sobral & Guillaume Lapeyre,LES LEGENDAIRES Saga,"Action, Aventure, Comédie",Magie - Malédiction - Super-héros,Shonen,7,1,"7,99",ABANDONNER ,"7,99",,,
LEVIATHAN,Kuroi Shiro,LEVIATHAN,,,Seinen,3,1,"9,95",EN COURS ,"9,95",,,
MAGI - THE LABYRINTH OF MAGIC,Shinobu Ohtaka,MAGI - THE LABYRINTH OF MAGIC,"Action, Aventure, Comédie",Guerre - Magie - Monstres,Shonen,37,37,"6,8",FINI,"251,6",,,
